Port_ID,Longitude,Latitude
870,-53.6667,70.8000
890,-52.1500,70.6833
940,-55.5333,72.1500
960,-56.1500,72.7667
1000,-68.8667,76.5333
1020,-76.7500,72.7500
1035,-62.7333,67.0333
1040,-65.7500,66.1333
1090,-94.1833,58.7833
1190,-71.9500,61.6000
1238,-62.8333,58.5833
1260,-61.6833,56.5500
1290,-60.2000,55.4500
1310,-58.4167,54.1833
1330,-60.1500,53.5333
1335,-60.3000,53.3667
1340,-60.4000,53.3500
1350,-57.0333,53.7000
1370,-55.7667,53.4000
1390,-55.5833,52.2667
1420,-55.5833,51.3667
1430,-55.9000,50.8833
1431,-56.1333,50.8667
1460,-56.6167,49.7833
1470,-56.3833,49.9333
1475,-55.6167,49.9667
1510,-56.0000,49.6167
1515,-56.0667,49.5000
1525,-55.2333,49.5333
1530,-55.3333,49.1500
1560,-55.0500,49.2500
1580,-54.7667,49.6667
1595,-53.1167,48.6500
1600,-53.0833,48.5000
1605,-53.0833,48.5000
1611,-53.9500,48.1500
1620,-53.2167,47.7333
1630,-53.2167,47.6833
1640,-53.2667,47.5833
1670,-52.7000,47.5667
1690,-53.4000,46.7333
1710,-53.9833,47.3000
1715,-54.0167,47.8000
1731,-55.4000,46.9167
1750,-56.1667,46.7833
1785,-55.7500,47.1000
1790,-57.6167,47.6000
1795,-59.1333,47.5667
1810,-58.5333,48.5333
1820,-61.7500,12.0500
1830,-57.9500,48.9500
1880,-57.1333,51.4167
1890,-63.6000,50.2333
1900,-64.0167,50.2833
1955,-66.3833,50.2000
1957,11.8333,-4.7833
1958,-66.7833,50.0333
1990,-67.5333,48.8500
2015,-68.1333,49.2333
2030,-68.5167,48.4500
2100,-69.7167,48.1500
2110,-70.8833,48.3333
2130,-71.0667,48.4333
2150,-69.5167,47.8333
2180,-71.2167,46.8167
2200,-72.3833,46.4000
2210,-72.5500,46.3500
2220,-73.1167,46.0500
2235,-73.5500,45.5167
2300,-74.0333,45.4000
2310,-74.0833,45.4667
2320,-74.1333,45.4667
2330,-74.2000,45.5333
2340,-74.3333,45.5667
2350,-74.3667,45.5667
2370,-74.4667,45.5833
2380,-74.6000,45.6333
2390,-74.6167,45.6167
2400,-74.8667,45.6500
2420,-74.9333,45.6500
2430,-75.0167,45.6167
2460,-75.2333,45.6000
2470,-69.1000,44.1000
2480,-75.4000,45.5167
2490,-75.4167,45.5333
2510,-75.6500,45.4833
2520,-75.7000,45.4333
2530,-75.7000,45.4333
2550,-73.8833,45.3167
2560,-74.2000,45.2500
2570,-74.2500,45.2500
2590,-74.3667,45.1333
2600,-74.5000,45.1333
2620,-74.7333,45.0167
2670,-75.3833,44.7833
2680,-75.4667,44.7333
2700,-75.6667,44.5833
2710,-97.0500,28.0167
2720,-76.1667,44.3333
2730,-76.4333,44.2000
2740,167.9500,-29.0667
2770,-75.5000,44.7000
2790,-75.9167,44.3333
2800,-76.0500,44.2333
2830,-76.7333,44.2000
2880,174.0167,-41.2833
2930,-77.4000,44.1500
2940,-74.7667,40.2000
2960,-78.1667,43.9500
2970,-82.7000,43.9500
2975,-73.2000,45.8833
2980,-78.8167,43.8667
2990,-78.9333,43.8500
3000,-79.3833,43.6167
3010,-79.5833,43.5500
3015,-79.6000,43.5000
3020,-79.6667,43.4333
3030,-79.7167,43.4000
3050,-163.9167,62.9000
3060,-79.2667,43.2167
3070,-79.2167,43.2333
3090,-79.2500,43.0000
3092,-79.7167,43.0833
3095,-79.2833,43.1833
3100,-79.0667,43.2500
3110,-79.0667,43.1667
3130,-76.1333,44.0667
3150,-76.1167,43.9500
3170,-76.5167,43.4667
3190,-76.9833,43.2667
3200,-77.6000,43.2667
3220,-79.0500,43.2500
